spot,arithmetic_price,arithmetic_ci_width,geometric_price,geometric_ci_width
80,0.216733,0.0173875,0.184797,0.0157311
81,0.272036,0.0196569,0.229514,0.0175771
82,0.346268,0.0227229,0.30623,0.0207154
83,0.440069,0.0254934,0.390718,0.0236645
84,0.547863,0.029144,0.480198,0.0264841
85,0.66705,0.0322674,0.595924,0.0296627
86,0.813212,0.0358363,0.730119,0.033234
87,0.975754,0.0396237,0.903546,0.0375097
88,1.18168,0.0440178,1.07039,0.0410303
89,1.40085,0.0485371,1.28873,0.0453582
90,1.65315,0.0531089,1.52902,0.0498061
91,1.89732,0.0566727,1.80715,0.0544248
92,2.18522,0.061339,2.09028,0.0589906
93,2.56834,0.0669661,2.40391,0.0629401
94,2.91506,0.0711535,2.78876,0.0687831
95,3.33712,0.0759537,3.18467,0.0732076
96,3.80274,0.0815469,3.60784,0.0782787
97,4.25287,0.0859644,4.06794,0.0830169
98,4.80149,0.0919503,4.56645,0.0879673
99,5.30064,0.0963254,5.12374,0.0929805
100,5.90112,0.101048,5.68569,0.0977413
101,6.49663,0.105598,6.24814,0.101626
102,7.09438,0.110071,6.87052,0.106892
103,7.795,0.115023,7.59639,0.111486
104,8.45221,0.119172,8.23784,0.115086
105,9.19417,0.123615,8.93465,0.119971
106,9.96324,0.12721,9.70807,0.124184
107,10.7361,0.131879,10.4606,0.128157
108,11.5262,0.134958,11.211,0.131707
109,12.3356,0.139004,11.9929,0.135658
110,13.0572,0.141259,12.8957,0.138696
111,13.9737,0.144775,13.7097,0.141847
112,14.8863,0.148929,14.5443,0.145306
113,15.7828,0.151802,15.3801,0.148466
114,16.6317,0.154706,16.2996,0.151322
115,17.5272,0.156411,17.1781,0.153902
116,18.4192,0.159489,18.1261,0.157154
117,19.3219,0.161679,18.9682,0.159058
118,20.3637,0.164376,19.9156,0.161479
119,21.1677,0.165997,20.7951,0.163918
120,22.2117,0.168806,21.8566,0.165732
