spot,time_steps,asian_price,ci_width,ci_width_percent
80,2,0.818756,0.0414051,5.05708
81,2,0.987946,0.0463197,4.68849
82,2,1.14375,0.0492988,4.31029
83,2,1.34157,0.0549737,4.0977
84,2,1.51847,0.0577365,3.80229
85,2,1.7247,0.0621951,3.60614
86,2,1.98774,0.067191,3.38026
87,2,2.27276,0.0722532,3.17909
88,2,2.54868,0.0768409,3.01493
89,2,2.87637,0.0817891,2.84348
90,2,3.21101,0.0874853,2.72454
91,2,3.60862,0.0926536,2.56756
92,2,3.99725,0.0983147,2.45956
93,2,4.40729,0.10244,2.32433
94,2,4.92505,0.10926,2.21845
95,2,5.36532,0.11352,2.1158
96,2,5.81706,0.118283,2.03337
97,2,6.33055,0.123345,1.9484
98,2,6.96356,0.129309,1.85693
99,2,7.55055,0.134859,1.78608
100,2,8.05183,0.138894,1.725
101,2,8.74421,0.144232,1.64946
102,2,9.34969,0.14944,1.59834
103,2,10.1182,0.15497,1.5316
104,2,10.7656,0.160063,1.4868
105,2,11.5156,0.164921,1.43215
106,2,12.1735,0.167971,1.37981
107,2,12.9147,0.173374,1.34246
108,2,13.6606,0.177386,1.29853
109,2,14.6205,0.182571,1.24874
110,2,15.3964,0.186873,1.21375
111,2,16.1254,0.190219,1.17963
112,2,16.9172,0.193749,1.14528
113,2,17.7605,0.198596,1.11819
114,2,18.6725,0.202052,1.08208
115,2,19.4867,0.205217,1.05311
116,2,20.4349,0.209582,1.02561
117,2,21.2713,0.213294,1.00273
118,2,22.1742,0.215607,0.972331
119,2,23.2504,0.220728,0.949354
120,2,23.8271,0.220901,0.927099
80,4,0.455612,0.0282541,6.20136
81,4,0.553525,0.0313353,5.66104
82,4,0.685999,0.03559,5.18805
83,4,0.811349,0.0387974,4.78184
84,4,0.96075,0.0420478,4.37656
85,4,1.13174,0.0463032,4.09134
86,4,1.32567,0.0500915,3.77858
87,4,1.55467,0.0550433,3.54052
88,4,1.80664,0.0593541,3.28533
89,4,2.05226,0.0637251,3.10512
90,4,2.38813,0.0694546,2.90832
91,4,2.70195,0.0738359,2.73269
92,4,3.03715,0.0784958,2.58452
93,4,3.45103,0.08376,2.4271
94,4,3.84454,0.0888382,2.31077
95,4,4.27574,0.0940788,2.20029
96,4,4.7544,0.0987542,2.07711
97,4,5.29729,0.10432,1.96931
98,4,5.76034,0.108917,1.89081
99,4,6.35626,0.11414,1.7957
100,4,6.93371,0.118827,1.71376
101,4,7.54099,0.124158,1.64644
102,4,8.16838,0.128217,1.56968
103,4,8.86491,0.132956,1.4998
104,4,9.63438,0.138588,1.43847
105,4,10.2728,0.142462,1.38679
106,4,11.0487,0.146552,1.32641
107,4,11.7644,0.151073,1.28415
108,4,12.5307,0.154794,1.23532
109,4,13.3058,0.158221,1.18911
110,4,14.1515,0.162962,1.15155
111,4,15.0187,0.166475,1.10845
112,4,15.868,0.170453,1.0742
113,4,16.6982,0.173268,1.03765
114,4,17.5556,0.177055,1.00854
115,4,18.4715,0.179564,0.972117
116,4,19.3667,0.183217,0.946045
117,4,20.2633,0.185936,0.917601
118,4,21.2115,0.189677,0.89422
119,4,22.1395,0.191762,0.866152
120,4,23.104,0.194935,0.843729
80,40,0.215412,0.0171319,7.95311
81,40,0.272019,0.0198126,7.28353
82,40,0.354155,0.0228506,6.45214
83,40,0.446953,0.0260761,5.83418
84,40,0.552641,0.0294162,5.32284
85,40,0.66287,0.0317758,4.79367
86,40,0.803441,0.0361764,4.50269
87,40,0.985267,0.0400689,4.0668
88,40,1.15989,0.0435917,3.75828
89,40,1.37847,0.0477832,3.4664
90,40,1.65398,0.0529464,3.20116
91,40,1.90965,0.056894,2.97929
92,40,2.24214,0.0624352,2.78463
93,40,2.5818,0.067245,2.60457
94,40,2.92971,0.0714397,2.43846
95,40,3.34538,0.0762951,2.28061
96,40,3.7609,0.0814188,2.16487
97,40,4.28843,0.0866921,2.02153
98,40,4.73698,0.0909545,1.92009
99,40,5.302,0.0964874,1.81983
100,40,5.90949,0.101131,1.71133
101,40,6.48729,0.105749,1.63009
102,40,7.13525,0.110173,1.54406
103,40,7.79369,0.114948,1.47489
104,40,8.38472,0.118136,1.40895
105,40,9.20204,0.122892,1.33549
106,40,9.9635,0.127979,1.28448
107,40,10.7609,0.131602,1.22297
108,40,11.5155,0.135548,1.17709
109,40,12.2727,0.137937,1.12394
110,40,13.1597,0.142072,1.0796
111,40,13.9842,0.145208,1.03837
112,40,14.8934,0.1486,0.997761
113,40,15.7211,0.151025,0.960655
114,40,16.6488,0.154308,0.926845
115,40,17.5469,0.156964,0.894541
116,40,18.4042,0.158826,0.862987
117,40,19.3123,0.162028,0.83899
118,40,20.2512,0.164202,0.810825
119,40,21.2527,0.166128,0.78168
120,40,22.1803,0.168372,0.759107
