spot,european_price,asian_price,asian_ci_width
80,1.85942,0.204264,0.0169068
81,2.09075,0.262532,0.0192319
82,2.3413,0.329782,0.0220253
83,2.61163,0.420396,0.0251188
84,2.90226,0.518953,0.0281567
85,3.2136,0.632297,0.0312867
86,3.54602,0.779622,0.0352288
87,3.89981,0.923747,0.0382382
88,4.27519,1.12847,0.0425867
89,4.6723,1.3322,0.0469615
90,5.09122,1.56112,0.0508601
91,5.53196,1.82645,0.0554578
92,5.99444,2.15003,0.0598906
93,6.47856,2.49463,0.0650331
94,6.98412,2.84862,0.0699682
95,7.51087,3.26077,0.075187
96,8.05853,3.71603,0.0799819
97,8.62674,4.16001,0.0848029
98,9.21511,4.66969,0.0893586
99,9.82322,5.19054,0.0940366
100,10.4506,5.76684,0.0992097
101,11.0967,6.4188,0.104407
102,11.7611,7.02749,0.108001
103,12.4431,7.67202,0.112813
104,13.1422,8.38394,0.117176
105,13.8579,9.09357,0.121066
106,14.5895,9.8124,0.125662
107,15.3364,10.6277,0.129498
108,16.098,11.3653,0.132905
109,16.8737,12.2436,0.137181
110,17.663,13.0644,0.139711
111,18.4651,13.8923,0.143273
112,19.2794,14.7545,0.145884
113,20.1055,15.7183,0.149587
114,20.9427,16.5823,0.151937
115,21.7905,17.4655,0.15447
116,22.6483,18.4035,0.156578
117,23.5155,19.2474,0.159112
118,24.3918,20.2262,0.161662
119,25.2764,21.1871,0.16378
120,26.169,22.0229,0.165885
