spot,maturity,price,delta,gamma,vega,payoff
80,0.05,3.03988e-07,4.5219e-07,6.44698e-07,4.12607e-05,0
80.5,0.05,6.32282e-07,9.11757e-07,1.25777e-06,8.15067e-05,0
81,0.05,1.28581e-06,1.79678e-06,2.39717e-06,0.000157278,0
81.5,0.05,2.55771e-06,3.46221e-06,4.46501e-06,0.000296577,0
82,0.05,4.97872e-06,6.52588e-06,8.13105e-06,0.000546732,0
82.5,0.05,9.4878e-06,1.20373e-05,1.44823e-05,0.000985704,0
83,0.05,1.77083e-05,2.17373e-05,2.52385e-05,0.00173868,0
83.5,0.05,3.2384e-05,3.84446e-05,4.30511e-05,0.00300163,0
84,0.05,5.80506e-05,6.66183e-05,7.19045e-05,0.00507358,0
84.5,0.05,0.000102042,0.000113148,0.000117635,0.00839941,0
85,0.05,0.000175965,0.000188436,0.00018857,0.0136242,0
85.5,0.05,0.000297791,0.000307826,0.00029629,0.0216595,0
86,0.05,0.000494778,0.000493441,0.000456469,0.0337604,0
86.5,0.05,0.000807399,0.000776448,0.000689761,0.0516097,0
87,0.05,0.00129453,0.00119976,0.00102263,0.0774029,0
87.5,0.05,0.00204007,0.00182113,0.00148801,0.113926,0
88,0.05,0.00316119,0.00271645,0.00212567,0.164612,0
88.5,0.05,0.00481829,0.00398322,0.00298207,0.233563,0
89,0.05,0.00722654,0.00574368,0.00410959,0.325521,0
89.5,0.05,0.010669,0.00814745,0.005565,0.44577,0
90,0.05,0.0155108,0.0113731,0.00740696,0.599964,0
90.5,0.05,0.0222136,0.0156284,0.00969266,0.793853,0
91,0.05,0.0313499,0.0211484,0.0124736,1.03294,0
91.5,0.05,0.0436157,0.0281915,0.0157908,1.32205,0
92,0.05,0.059841,0.0370329,0.0196694,1.66482,0
92.5,0.05,0.0809954,0.0479553,0.0241137,2.06323,0
93,0.05,0.10819,0.0612375,0.0291027,2.51709,0
93.5,0.05,0.14267,0.0771406,0.0345863,3.02362,0
94,0.05,0.185805,0.095893,0.0404839,3.57716,0
94.5,0.05,0.239068,0.117675,0.0466842,4.16901,0
95,0.05,0.304006,0.142605,0.0530478,4.78757,0
95.5,0.05,0.382205,0.170723,0.0594121,5.41853,0
96,0.05,0.475253,0.201987,0.0655976,6.04548,0
96.5,0.05,0.584694,0.23626,0.0714172,6.65055,0
97,0.05,0.711977,0.273312,0.0766853,7.21532,0
97.5,0.05,0.858416,0.312824,0.0812283,7.72177,0
98,0.05,1.02514,0.354394,0.0848944,8.15326,0
98.5,0.05,1.21308,0.397552,0.0875618,8.49547,0
99,0.05,1.42287,0.441775,0.0891459,8.73719,0
99.5,0.05,1.65494,0.48651,0.0896032,8.87094,0
100,0.05,1.90937,0.53119,0.0889334,8.89334,0
100.5,0.05,2.18602,0.575262,0.0871781,8.80521,0.5
101,0.05,2.48445,0.618201,0.0844173,8.61141,1
101.5,0.05,2.80396,0.65953,0.0807636,8.32047,1.5
102,0.05,3.14364,0.698838,0.0763551,7.94398,2
102.5,0.05,3.5024,0.735786,0.0713468,7.49587,2.5
103,0.05,3.87899,0.770112,0.0659021,6.99156,3
103.5,0.05,4.27205,0.801642,0.0601848,6.44715,3.5
104,0.05,4.68015,0.830278,0.0543511,5.87862,4
104.5,0.05,5.10184,0.855998,0.048544,5.30112,4.5
105,0.05,5.53567,0.878847,0.0428881,4.72842,5
105.5,0.05,5.98022,0.898929,0.0374871,4.17241,5.5
106,0.05,6.43416,0.91639,0.0324218,3.64292,6
106.5,0.05,6.89621,0.931416,0.0277504,3.14752,6.5
107,0.05,7.3652,0.944213,0.0235095,2.6916,7
107.5,0.05,7.84009,0.955,0.0197161,2.27844,7.5
108,0.05,8.31991,0.964004,0.0163707,1.90948,8
108.5,0.05,8.80383,0.971444,0.01346,1.58454,8.5
109,0.05,9.29113,0.977532,0.01096,1.30216,9
109.5,0.05,9.78117,0.982467,0.00883945,1.05987,9.5
110,0.05,10.2734,0.986429,0.00706235,0.854544,10
110.5,0.05,10.7675,0.98958,0.00559034,0.682595,10.5
111,0.05,11.2629,0.992064,0.0043848,0.540252,11
111.5,0.05,11.7594,0.994003,0.00340832,0.42373,11.5
112,0.05,12.2568,0.995504,0.0026258,0.329381,12
112.5,0.05,12.7549,0.996656,0.00200526,0.253791,12.5
