simulations,mc_price,bs_price,ci_width,ci_lower,ci_upper,error
100,9.71164,10.4506,5.21591,7.10368,12.3196,0.738945
200,10.8031,10.4506,4.30556,8.65028,12.9558,0.352479
300,11.0104,10.4506,3.30613,9.35733,12.6635,0.55981
400,12.4609,10.4506,3.43804,10.7419,14.18,2.01035
500,11.7258,10.4506,2.7189,10.3663,13.0852,1.27518
600,9.99132,10.4506,2.2167,8.88297,11.0997,0.459263
700,11.3047,10.4506,2.2088,10.2003,12.4091,0.854089
800,10.2559,10.4506,2.01318,9.24929,11.2625,0.19471
900,10.3228,10.4506,1.91027,9.36766,11.2779,0.127791
1000,10.8223,10.4506,1.92165,9.86151,11.7832,0.371757
1100,10.572,10.4506,1.70618,9.71894,11.4251,0.121449
1200,10.2611,10.4506,1.63566,9.44323,11.0789,0.189524
1300,9.87776,10.4506,1.5083,9.12361,10.6319,0.572827
1400,10.628,10.4506,1.57733,9.83933,11.4167,0.177414
1500,10.7319,10.4506,1.52466,9.96953,11.4942,0.281271
1600,10.4035,10.4506,1.43743,9.68482,11.1222,0.0470475
1700,10.3796,10.4506,1.37658,9.69133,11.0679,0.0709692
1800,9.93031,10.4506,1.31082,9.2749,10.5857,0.520273
1900,10.5489,10.4506,1.38229,9.8578,11.2401,0.0983633
2000,10.2867,10.4506,1.23547,9.66901,10.9045,0.163845
2100,10.8251,10.4506,1.23018,10.21,11.4402,0.374508
2200,10.8202,10.4506,1.24334,10.1985,11.4419,0.369629
2300,10.165,10.4506,1.21836,9.55583,10.7742,0.285568
2400,10.2244,10.4506,1.15666,9.64609,10.8027,0.226168
2500,10.2265,10.4506,1.14616,9.65342,10.7996,0.224087
2600,10.2748,10.4506,1.13013,9.70969,10.8398,0.175824
2700,10.8184,10.4506,1.13993,10.2485,11.3884,0.367857
2800,10.6294,10.4506,1.09948,10.0796,11.1791,0.178769
2900,10.6984,10.4506,1.0916,10.1526,11.2442,0.247774
3000,10.7269,10.4506,1.08292,10.1854,11.2683,0.276282
3100,10.3133,10.4506,1.01017,9.80818,10.8184,0.137316
3200,10.2005,10.4506,1.00074,9.70014,10.7009,0.250079
3300,10.2277,10.4506,1.00529,9.72508,10.7304,0.222863
3400,10.4936,10.4506,1.01174,9.98778,10.9995,0.0430595
3500,10.2582,10.4506,0.977728,9.76934,10.7471,0.192382
3600,10.3743,10.4506,0.975646,9.88647,10.8621,0.0762894
3700,10.5187,10.4506,0.947144,10.0452,10.9923,0.0681413
3800,10.2491,10.4506,0.932473,9.7829,10.7154,0.201444
3900,10.561,10.4506,0.913908,10.1041,11.018,0.110449
4000,10.8472,10.4506,0.943564,10.3754,11.319,0.396602
4100,10.5588,10.4506,0.914269,10.1016,11.0159,0.108187
4200,10.3639,10.4506,0.888324,9.91971,10.808,0.0867166
4300,10.7931,10.4506,0.893994,10.3461,11.2401,0.342476
4400,10.1082,10.4506,0.856492,9.67991,10.5364,0.34243
4500,10.7091,10.4506,0.895723,10.2612,11.1569,0.258481
4600,10.3722,10.4506,0.859794,9.94234,10.8021,0.0783501
4700,10.4937,10.4506,0.839185,10.0742,10.9133,0.0431616
4800,10.1077,10.4506,0.806316,9.70457,10.5109,0.342856
4900,10.3101,10.4506,0.801123,9.90958,10.7107,0.140438
5000,10.6593,10.4506,0.817073,10.2508,11.0679,0.20874
5100,10.7019,10.4506,0.800471,10.3016,11.1021,0.251288
5200,10.7079,10.4506,0.809699,10.303,11.1127,0.257292
5300,10.6563,10.4506,0.801122,10.2558,11.0569,0.20576
5400,10.3488,10.4506,0.789393,9.95408,10.7435,0.101812
5500,10.428,10.4506,0.788205,10.0339,10.8221,0.0226278
5600,10.0973,10.4506,0.752527,9.72104,10.4736,0.353276
5700,10.1799,10.4506,0.746726,9.8065,10.5532,0.27072
5800,10.6459,10.4506,0.766037,10.2629,11.029,0.195364
5900,10.7692,10.4506,0.765639,10.3863,11.152,0.318569
6000,10.4536,10.4506,0.752241,10.0774,10.8297,0.00297273
6100,10.4988,10.4506,0.740226,10.1287,10.8689,0.0482497
6200,10.4343,10.4506,0.730214,10.0692,10.7995,0.0162397
6300,10.8161,10.4506,0.738243,10.4469,11.1852,0.365472
6400,10.3666,10.4506,0.717296,10.0079,10.7252,0.0839984
6500,10.071,10.4506,0.687514,9.72727,10.4148,0.379556
6600,10.4168,10.4506,0.715275,10.0592,10.7745,0.0337485
6700,10.3423,10.4506,0.691633,9.99652,10.6882,0.108245
6800,10.573,10.4506,0.705507,10.2203,10.9258,0.122453
6900,10.4401,10.4506,0.700246,10.09,10.7902,0.0104644
7000,10.6855,10.4506,0.699665,10.3356,11.0353,0.23489
7100,10.444,10.4506,0.688051,10.1,10.788,0.00656751
7200,10.4362,10.4506,0.679346,10.0965,10.7759,0.0143982
7300,10.3554,10.4506,0.67552,10.0177,10.6932,0.0951607
7400,10.3397,10.4506,0.668463,10.0054,10.6739,0.110913
7500,10.5171,10.4506,0.67709,10.1786,10.8557,0.0665591
7600,10.2893,10.4506,0.649993,9.96433,10.6143,0.161258
7700,10.4101,10.4506,0.648889,10.0857,10.7345,0.0404875
7800,10.4449,10.4506,0.645916,10.1219,10.7678,0.00569406
7900,10.3033,10.4506,0.653831,9.9764,10.6302,0.147271
8000,10.6494,10.4506,0.655838,10.3215,10.9773,0.198825
8100,10.7145,10.4506,0.646809,10.3911,11.0379,0.263886
8200,10.4687,10.4506,0.633807,10.1518,10.7856,0.0181021
8300,10.5043,10.4506,0.635505,10.1866,10.8221,0.0537364
8400,10.3658,10.4506,0.626479,10.0526,10.6791,0.0847644
8500,10.5998,10.4506,0.642909,10.2783,10.9212,0.149175
8600,10.5621,10.4506,0.629,10.2476,10.8766,0.111513
8700,10.513,10.4506,0.624912,10.2006,10.8255,0.0624281
8800,10.494,10.4506,0.627172,10.1804,10.8076,0.0434264
8900,10.4747,10.4506,0.616747,10.1663,10.7831,0.0241167
9000,10.5547,10.4506,0.613541,10.2479,10.8614,0.104066
9100,10.3989,10.4506,0.596587,10.1006,10.6971,0.0517336
9200,10.3774,10.4506,0.600385,10.0772,10.6776,0.073164
9300,10.3235,10.4506,0.591636,10.0277,10.6194,0.127043
9400,10.2598,10.4506,0.588177,9.96571,10.5539,0.19079
9500,10.2051,10.4506,0.578334,9.91591,10.4942,0.245503
9600,10.4591,10.4506,0.581097,10.1686,10.7497,0.0085606
9700,10.6241,10.4506,0.586782,10.3307,10.9175,0.173544
9800,10.2962,10.4506,0.573603,10.0094,10.5831,0.154334
9900,10.4569,10.4506,0.590299,10.1617,10.752,0.00627585
10000,10.6726,10.4506,0.583618,10.3808,10.9644,0.222017
